date;home_team;away_team;home_score;away_score;competition;stadium;city;country;neutral;world_cup;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;snow_depth_mm;avg_wind_dir_deg;avg_wind_speed_kmh;peak_wind_gust_kmh;avg_sea_level_pres_hpa
2019-08-17;New Zealand;Australia;36;0;2019 Rugby World Cup warm-up match;Eden Park;Auckland;New Zealand;FALSE;FALSE;Winter;12.1;7.8;16.6;1.5;;309.0;15.3;;1012.9
2019-08-17;South Africa;Argentina;24;18;2019 Rugby World Cup warm-up match;Loftus Versfeld Stadium;Pretoria;South Africa;FALSE;FALSE;Winter;20.1;11.6;27.8;;;;;;
2019-08-11;England;Wales;33;19;2019 Rugby World Cup warm-up;Twickenham;London;England;FALSE;FALSE;Summer;18.6;15.2;23.1;1.5;;222.0;24.9;48.0;1011.1
2019-08-10;Ireland;Italy;29;10;2019 Rugby World Cup warm-up tests;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Summer;16.6;16.8;20.2;10.2;;235.0;20.6;46.3;992.9
2019-08-10;Australia;New Zealand;47;26;2019 Rugby Championship;Perth Stadium;Perth;Australia;FALSE;FALSE;Winter;;7.3;18.9;0.2;;;;;
2019-08-10;Argentina;South Africa;13;46;2019 Rugby Championship;Estadio Padre Ernesto Martearena;Salta;Argentina;FALSE;FALSE;Winter;7.4;-3.2;20.5;;;341.0;7.1;;
2019-07-27;Australia;Argentina;16;10;2019 Rugby Championship;Suncorp Stadium;Brisbane;Australia;FALSE;FALSE;Winter;;12.1;25.9;0.0;;;;;
2019-07-27;New Zealand;South Africa;16;16;2019 Rugby Championship;Westpac Stadium;Wellington;New Zealand;FALSE;FALSE;Winter;13.3;8.4;14.8;0.0;;12.0;21.1;;1025.1
2019-07-20;Argentina;New Zealand;16;20;2019 Rugby Championship;José Amalfitani Stadium;Buenos Aires;Argentina;FALSE;FALSE;Winter;15.1;11.9;17.5;;;22.0;7.5;;1011.8
2019-07-20;South Africa;Australia;35;17;2019 Rugby Championship;Ellis Park Stadium;Johannesburg;South Africa;FALSE;FALSE;;;;;;;;;;
2019-03-16;Italy;France;14;25;2019 Six Nations Championship;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Spring;12.8;9.0;16.4;;;150.0;8.4;;1018.9
2019-03-16;Wales;Ireland;25;7;2019 Six Nations Championship;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2019-03-16;England;Scotland;38;38;2019 Six Nations Championship;Twickenham Stadium;London;England;FALSE;FALSE;Spring;10.9;8.1;12.5;0.0;;228.0;37.2;83.0;1002.5
2019-03-10;Ireland;France;26;14;2019 Six Nations Championship;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Spring;3.4;2.7;7.9;1.5;;252.0;25.2;83.0;1009.4
2019-03-09;England;Italy;57;14;2019 Six Nations Championship;Twickenham;London;England;FALSE;FALSE;Spring;9.4;6.9;13.6;1.3;;252.0;24.4;74.0;1012.3
2019-03-09;Scotland;Wales;11;18;2019 Six Nations Championship;Murrayfield Stadium;Edinburgh;Scotland;FALSE;FALSE;Spring;4.4;1.7;9.0;1.5;;270.0;30.6;70.0;1000.0
2019-02-24;Italy;Ireland;16;26;2019 Six Nations Championship;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Winter;7.3;1.9;13.6;;;22.0;14.2;;1026.0
2019-02-23;France;Scotland;27;10;2019 Six Nations Championship;Stade de France;Saint-Denis;France;FALSE;FALSE;Winter;10.2;5.9;16.4;0.0;;69.0;10.8;40.8;1033.6
2019-02-23;Wales;England;21;13;2019 Six Nations Championship;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
